,used,model_id,bib_ref,authors,paper_title,paper_url,pub_date,code_url,task_list
106,TRUE,Liu21,-,liu,-,-,2021,-,"sLM21, ABXLS"
107,TRUE,Mae21a,maekaku2021speech,"Maekaku, T., Chang, X., Fujita, Y., Chen, L., Watanabe, S. & Rudnicky, A. ",Speech representation learning combining conformer cpc with deep cluster for the zerospeech challenge 2021.,https://arxiv.org/abs/2107.05899,2021,-,"sLM21, ABXLS"
108,TRUE,Mae21b,maekaku2021speech,"Maekaku, T., Chang, X., Fujita, Y., Chen, L., Watanabe, S. & Rudnicky, A. ",Speech representation learning combining conformer cpc with deep cluster for the zerospeech challenge 2021.,https://arxiv.org/abs/2107.05900,2021,-,"sLM21, ABXLS"
109,TRUE,Mae21c,maekaku2021speech,"Maekaku, T., Chang, X., Fujita, Y., Chen, L., Watanabe, S. & Rudnicky, A. ",Speech representation learning combining conformer cpc with deep cluster for the zerospeech challenge 2021.,https://arxiv.org/abs/2107.05901,2021,-,"sLM21, ABXLS"
110,TRUE,Mae21d,maekaku2021speech,"Maekaku, T., Chang, X., Fujita, Y., Chen, L., Watanabe, S. & Rudnicky, A. ",Speech representation learning combining conformer cpc with deep cluster for the zerospeech challenge 2021.,https://arxiv.org/abs/2107.05902,2021,-,"sLM21, ABXLS"
111,TRUE,Pen21,peng2022self,"Peng, P. & Harwath, D. ",Self-supervised representation learning for speech using visual grounding and masked language modeling.,https://arxiv.org/abs/2202.03543,2021,-,"sLM21, ABXLS"
112,TRUE,Lee21a,-,"Kyogu Lee, Jaeyeon Kim, Injune Hwang",-,-,2021,-,"sLM21, ABXLS"
113,TRUE,Lee21b,-,"Kyogu Lee, Jaeyeon Kim, Injune Hwang",-,-,2021,-,"sLM21, ABXLS"
114,TRUE,Gan21a,-,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
115,TRUE,Gan21b,-,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
116,TRUE,Gan21c,-,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
117,TRUE,Gan21d,-,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
118,TRUE,Gan21e,,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
119,TRUE,Gan21f,,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
120,TRUE,Gan21g,,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
121,TRUE,Gan21h,,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
122,TRUE,Gan21i,,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
123,TRUE,Gan21j,,"Dr.Sriram Ganapathy, Varun Krishna",-,-,2021,-,"sLM21, ABXLS"
124,TRUE,Ngu21a,nguyen22discrete,"Nguyen, T., Sagot, B. & Dupoux, E. ",Are discrete units necessary for spoken language modeling? ,https://arxiv.org/abs/2203.05936,2021,-,"sLM21, ABXLS"
125,TRUE,Ngu21b,nguyen22discrete,"Nguyen, T., Sagot, B. & Dupoux, E. ",Are discrete units necessary for spoken language modeling? ,https://arxiv.org/abs/2203.05937,2021,-,"sLM21, ABXLS"
126,TRUE,Ngu21c,nguyen22discrete,"Nguyen, T., Sagot, B. & Dupoux, E. ",Are discrete units necessary for spoken language modeling? ,https://arxiv.org/abs/2203.05938,2021,-,"sLM21, ABXLS"
127,TRUE,Ngu21d,nguyen22discrete,"Nguyen, T., Sagot, B. & Dupoux, E. ",Are discrete units necessary for spoken language modeling? ,https://arxiv.org/abs/2203.05939,2021,-,"sLM21, ABXLS"
128,TRUE,Łań21,-,"Adrian Łancucki, Tomasz Grzegorzek, Santiago Cuervo, Ricard Marxer, Paweł Rychlikowski, Jan Chorowski",-,-,2021,-,"sLM21, ABXLS"
129,TRUE,Bha21a,bhati2021unsupervised,"Bhati, S., Villalba, J., Żelasko, P., Moro-Velazquez, L. & Dehak, N.",Unsupervised speech segmentation and variable rate representation learning using segmental contrastive predictive coding.,https://arxiv.org/abs/2110.02345,2021,-,"sLM21, ABXLS"
130,TRUE,Bha21b,bhati2021unsupervised,"Bhati, S., Villalba, J., Żelasko, P., Moro-Velazquez, L. & Dehak, N.",Unsupervised speech segmentation and variable rate representation learning using segmental contrastive predictive coding.,https://arxiv.org/abs/2110.02345,2021,-,"sLM21, ABXLS"
131,TRUE,Gao21a,-,"Lingyun Gao, Siyuan Feng, Odette Scharenborg",-,-,2021,-,"sLM21, ABXLS"
132,TRUE,Gao21b,-,"Lingyun Gao, Siyuan Feng, Odette Scharenborg",-,-,2021,-,"sLM21, ABXLS"
133,TRUE,Gao21c,-,"Lingyun Gao, Siyuan Feng, Odette Scharenborg",-,-,2021,-,"sLM21, ABXLS"
